lead_hours,model,n,pearson_r,r2,rmse_cm,mae_cm,bias_cm,rrmse_percent,skill_vs_same_lead_ridge,top5_n,top5_threshold_cm,top5_rmse_cm,rapid_rise_n,rapid_rise_threshold_cm_per_hour,rapid_rise_rmse_cm
1,persistence,8681,0.8290754275894474,0.6580164551582439,12.043686350516367,9.70411691654709,-0.0059057316121562346,75.015786846861,-5.525166839433723,435,40.26472568511963,14.988688544350564,431,20.398488640785224,25.282886922963772
1,ridge,8681,0.9735395340302136,0.9475900688431387,4.7148038183695204,3.653450564585949,-0.19657152096415453,29.36681577135312,0.0,435,40.26472568511963,6.164290079762693,431,20.398488640785224,6.28918884028881
1,surge_mlp,8681,0.9779966747060679,0.9564507975106525,4.297807259168393,3.321755140719109,-0.08008551885568078,26.769494312581898,0.16906583298104283,435,40.26472568511963,5.630690077324669,431,20.398488640785224,5.721144618036146
1,era5_cnn,8681,0.7358178128714148,0.5343094484331039,14.0541810924913,11.06778143726168,-1.7333765113162805,87.53843486602503,-7.885540226586029,435,40.26472568511963,26.75515992417128,431,20.398488640785224,19.14185063271791
1,cnn,8681,0.9817265492350258,0.9636884941659632,3.9244514585864847,3.0393001158548945,0.012188450376544447,24.44399542965136,0.3071636418418968,435,40.26472568511963,4.954748110264151,431,20.398488640785224,4.832827523754809
1,cnn_lstm,8681,0.9856854869866286,0.9715692401728205,3.4725704498800707,2.6765019720396737,0.05103258943688444,21.629391292454486,0.45753105948399175,435,40.26472568511963,4.701601858689277,431,20.398488640785224,4.360759575720836
1,cnn_gru,8681,0.9857765040884023,0.9713779796183514,3.4842312794620836,2.6954646193140857,-0.38527524687357245,21.702022402309346,0.4538817405429557,435,40.26472568511963,4.721119301642487,431,20.398488640785224,4.520444623487576
1,tcn,8681,0.9749453119589905,0.9501806134841362,4.596804349662637,3.544060198492984,-0.060460887393138166,28.631839557680895,0.0494285068462339,435,40.26472568511963,5.820095905466325,431,20.398488640785224,6.064369046701009
1,transformer,8681,0.9804161721064537,0.9611010090309544,4.061869815161931,3.135223074422972,0.19660572737788132,25.29992490553543,0.2577935114506814,435,40.26472568511963,5.26333397497367,431,20.398488640785224,5.046193241855219
1,cnn_gru_rollout6,8681,0.985848495969461,0.9717526550319104,3.461351059510587,2.6645471132964222,-0.2054104516520196,21.559509748547224,0.4610306797857431,435,40.26472568511963,4.963453514709456,431,20.398488640785224,4.270639847545587
3,persistence,8681,0.5284186276265888,0.05618524145325188,20.001881521364187,15.619920462383678,-0.011013934208306968,124.62417167783444,-4.081405734171827,435,40.20175635814667,31.984169309644606,431,20.40640413761139,27.393238400204986
3,ridge,8681,0.9031313665570054,0.8142610907450845,8.873172280073076,6.762119304656245,-0.6601817840660001,55.285386246173964,0.0,435,40.20175635814667,14.761424387818879,431,20.40640413761139,9.967312665449434
3,surge_mlp,8681,0.9017726224203501,0.8128366517416681,8.90713164916899,6.784674198477646,-0.3769981457333973,55.496974253020205,-0.00766903934738572,435,40.20175635814667,15.173351101005524,431,20.40640413761139,10.13097030777834
3,era5_cnn,8681,0.7357111541254281,0.5341269012333529,14.052748864012162,11.066054094261288,-1.7357118010950707,87.55737229537894,-1.5082148949591616,435,40.20175635814667,26.756226555842304,431,20.40640413761139,19.14185063271791
3,cnn,8681,0.9373228397111184,0.8753209656047544,7.269828797048297,5.567940503162474,0.009921544007716492,45.29555837555126,0.3287403544287473,435,40.20175635814667,10.065849040436836,431,20.40640413761139,7.651603545086853
3,cnn_lstm,8681,0.9517861132722817,0.9058646712477778,6.316896921752513,4.7988992980391245,0.0812634718638599,39.35819965770786,0.49318465834734093,435,40.20175635814667,10.663885346145733,431,20.40640413761139,6.855637575382566
3,cnn_gru,8681,0.9520931252777948,0.9031524681221657,6.407251140439795,4.863180147133414,-1.159786673446589,39.92116267943525,0.47858242375636584,435,40.20175635814667,10.294978577814376,431,20.40640413761139,7.212885727473212
3,tcn,8681,0.8737195912681753,0.7588637784263879,10.110175492642279,7.644543341762429,-0.1549138935521017,62.99268621015969,-0.29825367523111246,435,40.20175635814667,16.044802136105478,431,20.40640413761139,11.46367209938195
3,transformer,8681,0.9319707489524385,0.8678033377776551,7.485791270967909,5.685479570194845,0.49269445656373917,46.6411390099021,0.288266186376098,435,40.20175635814667,12.158452056038904,431,20.40640413761139,8.440839566308348
3,cnn_gru_rollout6,8681,0.9557966441762088,0.9128235532444997,6.0789287081538195,4.584266157559228,-0.5333734693428087,37.875509568092305,0.5306505938620767,435,40.20175635814667,9.972470483784443,431,20.40640413761139,6.4103803301072055
6,persistence,8681,0.32892417326677836,-0.343521065492308,23.85652890325151,19.106441589807353,-0.020625871397935085,148.71457672404952,-6.055942010486708,435,40.20175635814667,38.69712569950417,431,20.402446389198307,30.669873723585116
6,ridge,8681,0.9007040648532143,0.8095901208519662,8.981104572194424,6.836453652428503,-0.7229879259834573,55.985561453002575,0.0,435,40.20175635814667,15.04628797531326,431,20.402446389198307,10.03844437314773
