lead_hours,valid_samples,persistence,ridge,surge_mlp,era5_cnn,cnn,cnn_lstm,cnn_gru,tcn,transformer,cnn_gru_rollout6
1,8713,12.009453942966452,4.611807795288209,4.285723510941062,14.590922858226742,3.81478382277923,3.4652430676093795,3.454223382145426,4.622890255795126,4.004747623850102,3.4079634966226466
3,8713,20.97620951704759,8.896621199348898,9.29449003668806,14.589685094909102,7.070483071041335,6.483595766110745,6.552054757008949,10.463022487085555,7.604790072210167,5.991432148437696
6,8713,24.878291986788415,8.990504393661434,10.572116624879813,14.589972628056552,7.282438972077393,6.841109295273582,6.9338031870289525,12.008714070380236,7.8530616673876725,6.316818214307748
12,8713,14.89436123730797,9.327343311606132,12.743212075401336,14.591952617457089,7.571791203739067,7.1170970444661386,7.156405885253749,13.935019285979077,8.167348112105428,6.567936528252559
24,8713,18.977223786440206,10.535976125573672,16.920540015073307,14.594466141618156,8.726467109585936,7.949224389079878,8.068462827584883,19.29550030385859,9.22987733846574,7.166234364329765
48,8713,25.7035272942117,12.675593574021335,20.431973412356882,14.594655303592523,11.77526243139774,10.091769576690925,10.20975855281643,27.532324441414953,11.924191181933297,8.629131571032744
72,8713,28.517948812710173,14.146234098334167,22.37790418316822,14.590758749604767,13.937334289371227,11.806068255648107,11.992300841539375,35.46243399176263,14.056430066022344,9.846168899301757
